Country,2020,2021,2022,2023,2024
Denmark,9.3042,23.8861,19.52805,15.17,27.58
Sweden,6.9555,9.9228,10.1464,10.37,25.09
Belgium,5.4617,10.321,12.0655,13.81,24.71
Finland,9.5396,15.7888,15.4444,15.1,24.37
Luxembourg,4.8431,13.003,13.7265,14.45,23.73
Netherlands,4.3451,13.1044,13.2372,13.37,23.06
Slovenia,2.168,11.7312,11.5506,11.37,20.89
Austria,3.8222,8.8306,9.8103,10.79,20.27
Germany,5.6003,10.5585,11.05425,11.55,19.75
Ireland,20.2662,7.8797,7.94485,8.01,14.9
Estonia,4.4878,2.7738,3.9819,5.19,13.89
Croatia,4.5311,8.7384,8.3142,7.89,11.76
Spain,7.421,7.6652,8.4226,9.18,11.31
Czechia,5.5062,4.4599,5.17995,5.9,11.26
Slovakia,5.8746,5.1924,6.1162,7.04,10.78
France,4.8061,6.6654,6.2727,5.88,9.91
Greece,2.08912,2.6114,3.2957,3.98,9.81
Latvia,2.1425,3.723,4.1265,4.53,8.83
Lithuania,6.9896,4.4526,4.6563,4.86,8.76
Portugal,7.6156,7.1996,7.5298,7.86,8.63
Italy,7.4392,6.1747,5.61235,5.05,8.2
Hungary,3.0511,2.977,3.3285,3.68,7.41
Bulgaria,4.7262,3.2883,3.45415,3.62,6.47
Poland,4.1438,2.8622,3.2661,3.67,5.9
Romania,5.4263,1.3826,1.4463,1.51,3.07
Norway,5.0103,10.8226,9.9963,9.17,20.77
Turkey,5.5741,2.6874,4.0987,5.51,4.42
